Measurement time:; 2020-12-10 10:36:03 AM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 15 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
128.8; 0.0; 20.0; 0.83; 34350.7; 0.78
128.4; 0.0; 20.0; 0.86; 35564.2; 0.81
127.8; 0.0; 20.0; 0.86; 35552.2; 0.81
127.3; 0.0; 20.0; 0.85; 34885.9; 0.80
126.8; 0.0; 20.0; 0.83; 34311.6; 0.79
126.3; 0.0; 20.0; 0.88; 36320.7; 0.83
125.8; 0.0; 20.0; 0.85; 35253.4; 0.80
125.3; 0.0; 20.0; 0.87; 35989.7; 0.82
124.8; 0.0; 20.0; 0.84; 34753.8; 0.81
124.3; 0.0; 20.0; 0.87; 36000.9; 0.82
123.8; 0.0; 20.0; 0.87; 36022.0; 0.82
123.3; 0.0; 20.0; 0.93; 38277.2; 0.87
122.8; 0.0; 20.0; 0.94; 38592.3; 0.88
122.3; 0.0; 20.0; 0.92; 37813.8; 0.87
121.8; 0.0; 20.0; 0.92; 37994.3; 0.87
121.3; 0.0; 20.0; 0.98; 40319.2; 0.92
120.8; 0.0; 20.0; 0.96; 39710.2; 0.91
120.3; 0.0; 20.0; 0.93; 38357.7; 0.88
119.8; 0.0; 20.0; 0.94; 38667.7; 0.89
119.2; 0.0; 20.0; 0.98; 40277.3; 0.92
118.7; 0.0; 20.0; 0.96; 39539.8; 0.91
118.2; 0.0; 20.0; 1.00; 41102.4; 0.94
117.7; 0.0; 20.0; 1.01; 41552.3; 0.95
117.3; 0.0; 20.0; 1.00; 41404.6; 0.94
116.7; 0.0; 20.0; 0.99; 40935.4; 0.95
116.2; 0.0; 20.0; 1.03; 42692.0; 0.98
115.7; 0.0; 20.0; 1.02; 42228.3; 0.96
115.2; 0.0; 20.0; 1.05; 43132.7; 0.98
114.7; 0.0; 20.0; 1.09; 44994.6; 1.03
114.2; 0.0; 20.0; 1.07; 44021.7; 1.02
113.7; 0.0; 20.0; 1.10; 45433.0; 1.05
113.2; 0.0; 20.0; 1.12; 46187.5; 1.05
112.7; 0.0; 20.0; 1.11; 45981.9; 1.05
112.2; 0.0; 20.0; 1.17; 48355.5; 1.10
111.7; 0.0; 20.0; 1.17; 48279.6; 1.11
111.2; 0.0; 20.0; 1.20; 49596.2; 1.15
110.7; 0.0; 20.0; 1.17; 48202.8; 1.10
110.2; 0.0; 20.0; 1.23; 50593.9; 1.15
109.7; 0.0; 20.0; 1.24; 51161.2; 1.17
109.1; 0.0; 20.0; 1.27; 52388.7; 1.19
108.6; 0.0; 20.0; 1.34; 55172.0; 1.26
108.1; 0.0; 20.0; 1.33; 54862.7; 1.26
107.6; 0.0; 20.0; 1.34; 55432.4; 1.27
107.1; 0.0; 20.0; 1.35; 55888.6; 1.28
106.6; 0.0; 20.0; 1.34; 55226.0; 1.26
106.1; 0.0; 20.0; 1.41; 58250.4; 1.32
105.6; 0.0; 20.0; 1.41; 58227.2; 1.33
105.1; 0.0; 20.0; 1.39; 57194.6; 1.33
104.6; 0.0; 20.0; 1.45; 59998.5; 1.38
104.1; 0.0; 20.0; 1.49; 61330.3; 1.39
103.6; 0.0; 20.0; 1.47; 60830.9; 1.38
103.1; 0.0; 20.0; 1.52; 62626.0; 1.45
102.6; 0.0; 20.0; 1.51; 62483.5; 1.43
102.1; 0.0; 20.0; 1.60; 65957.8; 1.51
101.6; 0.0; 20.0; 1.57; 64679.0; 1.47
101.1; 0.0; 20.0; 1.61; 66546.9; 1.52
100.6; 0.0; 20.0; 1.62; 66788.5; 1.54
100.1; 0.0; 20.0; 1.63; 67265.1; 1.54
99.6; 0.0; 20.0; 1.67; 68883.9; 1.57
99.1; 0.0; 20.0; 1.69; 69747.9; 1.59
98.6; 0.0; 20.0; 1.68; 69505.7; 1.60
98.1; 0.0; 20.0; 1.69; 69695.0; 1.60
97.5; 0.0; 20.0; 1.70; 70189.0; 1.60
97.0; 0.0; 20.0; 1.75; 72265.8; 1.64
96.5; 0.0; 20.0; 1.75; 72336.7; 1.65
96.0; 0.0; 20.0; 1.76; 72651.6; 1.68
95.5; 0.0; 20.0; 1.80; 74111.8; 1.70
95.0; 0.0; 20.0; 1.81; 74672.1; 1.69
94.5; 0.0; 20.0; 1.87; 76971.5; 1.75
94.0; 0.0; 20.0; 1.85; 76410.9; 1.75
93.5; 0.0; 20.0; 1.85; 76313.1; 1.77
93.0; 0.0; 20.0; 1.93; 79664.2; 1.83
92.5; 0.0; 20.0; 2.00; 82653.6; 1.88
92.0; 0.0; 20.0; 2.01; 83126.1; 1.88
91.5; 0.0; 20.0; 1.99; 81985.3; 1.89
91.0; 0.0; 20.0; 2.08; 85876.7; 1.97
90.5; 0.0; 20.0; 2.08; 85671.0; 1.97
90.0; 0.0; 20.0; 2.15; 88726.3; 2.02
89.5; 0.0; 20.0; 2.18; 90090.5; 2.05
89.0; 0.0; 20.0; 2.22; 91620.0; 2.09
88.4; 0.0; 20.0; 2.22; 91397.1; 2.11
87.9; 0.0; 20.0; 2.34; 96619.8; 2.22
87.5; 0.0; 20.0; 2.36; 97255.5; 2.22
87.0; 0.0; 20.0; 2.40; 99110.2; 2.25
86.5; 0.0; 20.0; 2.42; 99873.4; 2.28
86.0; 0.0; 20.0; 2.39; 98508.6; 2.27
85.4; 0.0; 20.0; 2.46; 101673.3; 2.33
84.9; 0.0; 20.0; 2.47; 101806.1; 2.32
84.4; 0.0; 20.0; 2.50; 103272.0; 2.35
83.9; 0.0; 20.0; 2.52; 104146.1; 2.39
83.4; 0.0; 20.0; 2.49; 102831.0; 2.36
82.9; 0.0; 20.0; 2.56; 105592.6; 2.42
82.4; 0.0; 20.0; 2.61; 107518.6; 2.44
81.9; 0.0; 20.0; 2.57; 105972.0; 2.41
81.4; 0.0; 20.0; 2.54; 104798.8; 2.42
80.9; 0.0; 20.0; 2.62; 108146.6; 2.48
80.4; 0.0; 20.0; 2.58; 106511.8; 2.44
79.9; 0.0; 20.0; 2.64; 109022.4; 2.48
79.4; 0.0; 20.0; 2.70; 111225.0; 2.53
78.9; 0.0; 20.0; 2.71; 111890.0; 2.58
78.4; 0.0; 20.0; 2.73; 112780.8; 2.58
77.9; 0.0; 20.0; 2.72; 112417.8; 2.58
77.4; 0.0; 20.0; 2.80; 115643.3; 2.63
76.9; 0.0; 20.0; 2.84; 117271.1; 2.67
76.4; 0.0; 20.0; 2.89; 119421.1; 2.74
75.9; 0.0; 20.0; 2.90; 119481.3; 2.75
75.4; 0.0; 20.0; 2.96; 121987.3; 2.78
74.9; 0.0; 20.0; 3.00; 123756.2; 2.81
74.4; 0.0; 20.0; 3.01; 124223.7; 2.83
