Distance_(inches),Gray_Value
0.00000,60663.531
0.00333,60668.988
0.00667,60667.953
0.01000,60673.609
0.01333,60674.027
0.01667,60662.422
0.02000,60673.703
0.02333,60670.668
0.02667,60673.434
0.03000,60671.852
0.03333,60673.441
0.03667,60673.441
0.04000,60672.793
0.04333,60674.051
0.04667,60674.227
0.05000,60668.855
0.05333,60671.508
0.05667,60655.430
0.06000,60648.527
0.06333,60673.676
0.06667,60673.086
0.07000,60673.664
0.07333,60673.754
0.07667,60673.766
0.08000,60675.125
0.08333,60672.832
0.08667,60671.539
0.09000,60673.605
0.09333,60666.145
0.09667,60673.453
0.10000,60672.973
0.10333,60673.695
0.10667,60673.324
0.11000,60673.551
0.11333,60673.895
0.11667,60673.812
0.12000,60667.402
0.12333,60666.875
0.12667,60671.039
0.13000,60670.910
0.13333,60668.203
0.13667,60667.855
0.14000,60673.805
0.14333,60672.910
0.14667,60670.684
0.15000,60668.461
0.15333,60673.875
0.15667,60672.531
0.16000,60672.316
0.16333,60669.156
0.16667,60666.297
0.17000,60673.754
0.17333,60673.531
0.17667,60673.305
0.18000,60673.559
0.18333,60671.266
0.18667,60673.742
0.19000,60671.883
0.19333,60673.145
0.19667,60671.129
0.20000,60672.723
0.20333,60669.246
0.20667,60673.707
0.21000,60673.852
0.21333,60673.383
0.21667,60672.934
0.22000,60673.941
0.22333,60673.797
0.22667,60670.164
0.23000,60667.734
0.23333,60672.684
0.23667,60672.578
0.24000,60673.688
0.24333,60674.156
0.24667,60673.742
0.25000,60672.137
0.25333,60671.363
0.25667,60661.402
0.26000,60674.137
0.26333,60669.012
0.26667,60640.285
0.27000,60669.184
0.27333,60661.422
0.27667,60639.430
0.28000,60653.852
0.28333,60672.590
0.28667,60672.914
0.29000,60671.195
0.29333,60666.156
0.29667,60674.453
0.30000,60673.371
0.30333,60671.793
0.30667,60672.625
0.31000,60673.746
0.31333,60672.754
0.31667,60672.758
0.32000,60673.742
0.32333,60672.551
0.32667,60668.695
0.33000,60673.676
0.33333,60673.863
0.33667,60672.570
0.34000,60672.824
0.34333,60673.797
0.34667,60672.609
0.35000,60673.656
0.35333,60673.910
0.35667,60670.824
0.36000,60671.137
0.36333,60672.312
0.36667,60673.746
0.37000,60673.551
0.37333,60672.422
0.37667,60671.852
0.38000,60668.531
0.38333,60668.430
0.38667,60673.527
0.39000,60671.547
0.39333,60671.953
0.39667,60665.625
0.40000,60672.285
0.40333,60673.578
0.40667,60673.586
0.41000,60673.910
0.41333,60674.332
0.41667,60673.453
0.42000,60673.008
0.42333,60660.117
0.42667,60672.434
0.43000,60671.039
0.43333,60673.570
0.43667,60673.488
0.44000,60675.242
0.44333,60673.031
0.44667,60672.766
0.45000,60671.336
0.45333,60669.547
0.45667,60673.527
0.46000,60673.812
0.46333,60670.973
0.46667,60635.742
0.47000,60666.777
0.47333,60673.512
0.47667,60672.383
0.48000,60673.734
0.48333,60673.258
0.48667,60673.168
0.49000,60673.637
0.49333,60665.852
0.49667,60668.234
0.50000,60670.684
0.50333,60671.816
0.50667,60663.293
0.51000,60661.414
0.51333,60672.449
0.51667,60672.934
0.52000,60673.570
0.52333,60670.961
0.52667,60672.215
0.53000,60674.012
0.53333,60662.824
0.53667,60670.793
0.54000,60673.156
0.54333,60657.461
0.54667,60659.242
0.55000,60666.961
0.55333,60654.754
0.55667,60658.766
0.56000,60666.723
0.56333,60669.156
0.56667,60667.598
0.57000,60666.188
0.57333,60673.488
0.57667,60672.812
0.58000,60673.461
0.58333,60636.754
0.58667,60656.992
0.59000,60670.891
0.59333,60671.508
0.59667,60670.520
0.60000,60669.629
0.60333,60669.285
0.60667,60673.746
0.61000,60670.703
0.61333,60673.492
0.61667,60675.914
0.62000,60673.430
0.62333,60660.375
0.62667,60652.332
0.63000,60648.598
0.63333,60645.973
0.63667,60651.609
0.64000,60652.480
0.64333,60654.184
0.64667,60649.793
0.65000,60648.707
0.65333,60604.031
0.65667,60583.258
0.66000,60596.078
0.66333,60650.109
0.66667,60671.098
0.67000,60652.383
0.67333,60668.176
0.67667,60625.758
0.68000,60662.332
0.68333,60669.980
0.68667,60670.473
0.69000,60670.434
0.69333,60667.258
0.69667,60669.910
0.70000,60672.785
0.70333,60672.723
0.70667,60659.586
0.71000,60667.492
0.71333,60666.227
0.71667,60663.117
0.72000,60666.031
0.72333,60662.836
0.72667,60659.949
0.73000,60648.875
0.73333,60524.734
0.73667,59456.684
0.74000,52327.402
0.74333,39264.508
0.74667,32646.520
0.75000,36638.254
0.75333,41443.914
0.75667,40185.453
0.76000,38423.816
0.76333,39853.617
0.76667,42433.324
0.77000,45284.973
0.77333,47117.285
0.77667,47852.070
0.78000,48043.078
0.78333,47827.066
0.78667,47873.047
0.79000,47960.734
0.79333,47842.145
0.79667,47883.875
0.80000,47635.559
0.80333,47040.754
0.80667,46809.910
0.81000,46531.684
0.81333,46122.855
0.81667,45468.727
0.82000,44668.039
0.82333,44525.863
0.82667,44463.598
0.83000,44383.676
0.83333,44101.551
0.83667,43613.480
0.84000,42895.949
0.84333,43096.648
0.84667,42639.266
0.85000,42896.695
0.85333,43466.383
0.85667,44412.992
0.86000,45266.734
0.86333,45680.707
0.86667,45562.949
0.87000,44988.703
0.87333,44237.664
0.87667,43934.473
0.88000,43818.164
0.88333,44276.078
0.88667,44897.434
0.89000,45404.020
0.89333,45904.590
0.89667,46176.402
0.90000,46307.254
0.90333,46314.758
0.90667,46330.824
0.91000,46431.156
0.91333,46497.129
0.91667,46446.344
0.92000,46347.027
0.92333,45987.645
0.92667,45631.449
0.93000,45211.195
0.93333,44771.508
0.93667,44263.875
0.94000,43819.914
0.94333,43180.480
0.94667,42340.227
0.95000,41623.422
0.95333,41615.551
0.95667,42192.215
0.96000,43382.395
0.96333,43883.195
0.96667,44260.312
0.97000,44789.914
0.97333,45512.242
0.97667,46034.766
0.98000,46348.922
0.98333,46722.758
0.98667,47222.605
0.99000,47871.488
0.99333,47908.773
0.99667,47846.047
1.00000,47879.066
1.00333,47798.059
1.00667,47864.020
1.01000,47900.383
1.01333,48139.242
1.01667,47950.863
1.02000,48068.156
1.02333,47913.793
1.02667,48041.242
1.03000,48077.430
1.03333,47852.668
1.03667,47930.145
1.04000,47875.047
1.04333,47911.258
1.04667,47990.098
1.05000,48003.754
1.05333,48032.410
1.05667,48015.758
1.06000,48052.648
1.06333,48012.973
1.06667,48048.473
1.07000,47990.590
1.07333,47945.109
1.07667,47985.805
1.08000,47926.422
1.08333,47844.648
1.08667,47866.145
1.09000,47945.430
1.09333,47864.008
1.09667,47868.527
1.10000,47957.758
1.10333,47826.629
1.10667,47783.637
1.11000,47911.941
1.11333,47953.973
1.11667,47982.078
1.12000,47912.391
1.12333,47833.258
1.12667,47896.531
1.13000,47956.922
1.13333,47959.758
1.13667,47911.668
