Distance_(inches),Gray_Value
0.00000,60670.934
0.00333,60668.566
0.00667,60670.703
0.01000,60654.195
0.01333,60671.039
0.01667,60671.266
0.02000,60669.508
0.02333,60671.055
0.02667,60668.199
0.03000,60662.285
0.03333,60664.617
0.03667,60669.785
0.04000,60671.176
0.04333,60671.074
0.04667,60665.969
0.05000,60667.387
0.05333,60669.109
0.05667,60668.566
0.06000,60670.969
0.06333,60670.992
0.06667,60671.000
0.07000,60671.051
0.07333,60669.105
0.07667,60669.984
0.08000,60665.746
0.08333,60669.457
0.08667,60666.391
0.09000,60670.434
0.09333,60671.086
0.09667,60670.754
0.10000,60670.414
0.10333,60668.391
0.10667,60667.742
0.11000,60663.910
0.11333,60655.016
0.11667,60664.602
0.12000,60652.559
0.12333,60654.305
0.12667,60660.910
0.13000,60671.133
0.13333,60673.227
0.13667,60669.242
0.14000,60650.371
0.14333,60669.520
0.14667,60663.770
0.15000,60670.777
0.15333,60670.473
0.15667,60669.418
0.16000,60669.148
0.16333,60668.777
0.16667,60669.094
0.17000,60670.793
0.17333,60669.848
0.17667,60666.547
0.18000,60664.035
0.18333,60660.684
0.18667,60662.730
0.19000,60663.418
0.19333,60647.047
0.19667,60634.965
0.20000,60641.277
0.20333,60654.352
0.20667,60661.652
0.21000,60655.145
0.21333,60662.691
0.21667,60657.637
0.22000,60661.809
0.22333,60661.660
0.22667,60665.465
0.23000,60663.684
0.23333,60655.066
0.23667,60660.879
0.24000,60657.371
0.24333,60653.648
0.24667,60648.953
0.25000,60656.961
0.25333,60656.777
0.25667,60652.551
0.26000,60668.910
0.26333,60668.617
0.26667,60669.660
0.27000,60659.211
0.27333,60660.805
0.27667,60669.016
0.28000,60670.957
0.28333,60665.961
0.28667,60663.977
0.29000,60664.461
0.29333,60668.586
0.29667,60664.602
0.30000,60664.648
0.30333,60670.535
0.30667,60670.613
0.31000,60669.836
0.31333,60635.820
0.31667,60669.949
0.32000,60671.020
0.32333,60670.379
0.32667,60668.164
0.33000,60669.555
0.33333,60668.051
0.33667,60668.715
0.34000,60671.039
0.34333,60668.785
0.34667,60655.246
0.35000,60670.742
0.35333,60671.090
0.35667,60669.254
0.36000,60651.555
0.36333,60670.734
0.36667,60646.449
0.37000,60670.879
0.37333,60670.809
0.37667,60664.430
0.38000,60670.812
0.38333,60670.660
0.38667,60670.902
0.39000,60670.637
0.39333,60667.836
0.39667,60615.359
0.40000,60669.301
0.40333,60656.578
0.40667,60669.551
0.41000,60670.184
0.41333,60665.242
0.41667,60671.035
0.42000,60668.902
0.42333,60671.934
0.42667,60671.691
0.43000,60666.293
0.43333,60669.477
0.43667,60667.355
0.44000,60669.242
0.44333,60660.719
0.44667,60660.906
0.45000,60659.809
0.45333,60656.734
0.45667,60670.719
0.46000,60658.285
0.46333,60669.262
0.46667,60669.625
0.47000,60669.152
0.47333,60670.852
0.47667,60671.605
0.48000,60662.867
0.48333,60670.668
0.48667,60671.098
0.49000,60664.711
0.49333,60662.691
0.49667,60665.555
0.50000,60670.547
0.50333,60669.266
0.50667,60669.359
0.51000,60674.309
0.51333,60670.289
0.51667,60669.223
0.52000,60662.523
0.52333,60651.398
0.52667,60662.391
0.53000,60661.551
0.53333,60672.938
0.53667,60674.703
0.54000,60673.133
0.54333,60669.312
0.54667,60654.031
0.55000,60671.125
0.55333,60670.867
0.55667,60666.996
0.56000,60673.090
0.56333,60671.461
0.56667,60668.996
0.57000,60667.543
0.57333,60670.953
0.57667,60670.184
0.58000,60674.027
0.58333,60666.418
0.58667,60668.715
0.59000,60656.316
0.59333,60615.430
0.59667,59992.965
0.60000,55046.602
0.60333,43215.559
0.60667,35180.285
0.61000,35171.414
0.61333,38784.914
0.61667,39539.934
0.62000,39221.195
0.62333,39748.348
0.62667,42078.961
0.63000,44742.156
0.63333,46714.082
0.63667,47543.133
0.64000,47991.633
0.64333,48022.641
0.64667,48031.559
0.65000,48155.770
0.65333,48134.211
0.65667,48113.527
0.66000,48009.270
0.66333,48092.777
0.66667,48040.715
0.67000,47838.305
0.67333,47808.461
0.67667,47704.984
0.68000,47720.695
0.68333,47582.078
0.68667,47401.258
0.69000,47386.613
0.69333,47463.543
0.69667,47366.941
0.70000,47466.090
0.70333,47284.285
0.70667,47132.867
0.71000,47192.945
0.71333,47123.816
0.71667,46963.895
0.72000,46920.660
0.72333,47024.359
0.72667,46852.188
0.73000,46678.734
0.73333,46709.383
0.73667,46822.918
0.74000,46850.898
0.74333,46850.070
0.74667,46574.844
0.75000,46461.117
0.75333,46727.715
0.75667,46723.734
0.76000,46656.750
0.76333,46533.734
0.76667,46372.414
0.77000,46162.195
0.77333,46056.539
0.77667,46129.098
0.78000,46272.570
0.78333,46496.383
0.78667,46661.891
0.79000,47103.543
0.79333,47184.195
0.79667,47234.160
0.80000,47445.160
0.80333,47245.957
0.80667,47379.758
0.81000,47301.566
0.81333,47484.441
0.81667,47428.195
0.82000,47440.031
0.82333,47532.266
0.82667,47502.535
0.83000,47410.449
0.83333,47441.992
0.83667,47327.367
0.84000,47427.703
0.84333,47412.941
0.84667,47456.922
0.85000,47375.539
0.85333,47160.059
0.85667,46944.973
0.86000,46706.715
0.86333,46862.863
0.86667,46674.090
0.87000,46820.871
0.87333,47058.715
0.87667,47368.191
0.88000,47457.961
0.88333,47785.113
0.88667,48127.766
0.89000,48012.980
0.89333,48173.910
0.89667,48067.578
0.90000,48274.746
0.90333,48171.781
0.90667,48150.309
0.91000,48264.133
0.91333,48204.594
0.91667,48210.410
0.92000,48115.070
0.92333,48083.926
0.92667,48173.691
0.93000,48263.148
0.93333,48196.391
0.93667,48274.902
0.94000,48221.977
0.94333,48256.254
0.94667,48299.316
0.95000,48278.594
0.95333,48043.023
0.95667,48268.992
0.96000,48321.578
0.96333,48176.254
0.96667,48225.266
0.97000,48152.352
0.97333,48228.965
0.97667,48164.922
0.98000,48142.836
0.98333,48176.836
0.98667,48214.840
0.99000,48179.715
0.99333,48176.500
0.99667,48177.430
1.00000,48223.441
1.00333,48118.246
1.00667,48220.117
1.01000,48176.625
1.01333,48132.602
1.01667,48116.031
1.02000,48254.520
1.02333,48122.461
1.02667,48263.312
1.03000,48234.957
1.03333,48208.746
1.03667,48101.863
1.04000,48098.445
1.04333,48163.203
1.04667,48190.953
1.05000,48182.047
1.05333,48223.246
1.05667,48195.641
1.06000,48319.367
1.06333,48152.785
1.06667,48165.215
1.07000,48123.266
1.07333,48200.242
1.07667,48189.426
1.08000,48357.898
1.08333,48235.754
1.08667,48141.070
1.09000,48156.266
1.09333,48183.238
1.09667,48092.090
1.10000,48289.625
1.10333,48296.527
1.10667,48227.703
1.11000,48146.695
1.11333,48259.352
1.11667,48263.961
1.12000,48208.160
1.12333,48266.309
1.12667,48200.105
1.13000,48203.723
1.13333,48251.789
1.13667,48273.227
1.14000,48246.008
1.14333,48226.176
1.14667,48217.582
1.15000,48282.203
1.15333,48318.016
1.15667,48271.047
1.16000,48191.340
1.16333,48259.352
1.16667,48184.523
1.17000,48186.879
1.17333,48217.684
1.17667,48190.891
1.18000,48175.539
1.18333,48251.594
1.18667,48183.426
1.19000,48109.703
1.19333,48110.238
1.19667,48206.320
1.20000,48211.348
1.20333,48242.363
1.20667,48200.312
1.21000,48246.402
1.21333,48141.090
1.21667,48116.809
1.22000,48228.012
1.22333,48300.992
1.22667,48217.785
1.23000,48296.770
1.23333,48208.906
1.23667,48294.820
1.24000,48207.480
1.24333,48285.641
1.24667,48261.141
1.25000,48262.473
1.25333,48140.848
1.25667,48121.984
1.26000,48285.977
1.26333,48282.887
1.26667,48340.547
1.27000,48201.453
1.27333,48230.328
1.27667,48184.605
1.28000,48317.449
1.28333,48278.496
1.28667,48221.363
1.29000,48300.961
1.29333,48350.090
1.29667,48308.547
1.30000,48173.051
1.30333,48371.934
1.30667,48189.250
1.31000,48358.555
1.31333,48225.992
1.31667,48184.023
1.32000,48368.977
1.32333,48268.191
1.32667,48321.082
1.33000,48333.070
1.33333,48173.766
1.33667,48221.879
1.34000,48379.160
1.34333,48239.902
1.34667,48309.867
1.35000,48292.277
1.35333,48354.773
1.35667,48289.852
1.36000,48387.328
1.36333,48320.793
1.36667,48295.289
1.37000,48132.836
1.37333,48307.648
1.37667,48293.891
1.38000,48294.496
1.38333,48210.594
1.38667,48335.910
1.39000,48162.258
1.39333,48194.910
1.39667,48308.488
1.40000,48343.570
1.40333,48228.168
1.40667,48371.633
1.41000,48371.035
1.41333,48235.270
1.41667,48315.992
1.42000,48261.250
1.42333,48314.258
1.42667,48318.340
1.43000,48287.375
1.43333,48224.656
1.43667,48398.750
1.44000,48335.176
1.44333,48286.262
1.44667,48233.902
1.45000,48307.535
1.45333,48363.414
1.45667,48258.105
1.46000,48373.285
1.46333,48285.758
1.46667,48350.430
1.47000,48286.289
1.47333,48263.883
1.47667,48299.711
1.48000,48337.590
1.48333,48356.352
1.48667,48364.750
1.49000,48346.676
1.49333,48193.828
1.49667,48372.082
1.50000,48340.211
1.50333,48337.117
1.50667,48304.965
1.51000,48421.883
1.51333,48377.445
1.51667,48271.812
1.52000,48294.391
1.52333,48325.164
1.52667,48347.004
1.53000,48177.957
1.53333,48267.633
1.53667,48342.320
1.54000,48361.734
1.54333,48365.254
1.54667,48379.395
1.55000,48408.465
1.55333,48380.590
1.55667,48255.777
1.56000,48358.473
1.56333,48449.387
1.56667,48409.828
1.57000,48399.172
1.57333,48401.473
1.57667,48353.137
1.58000,48315.562
1.58333,48277.105
1.58667,48442.301
1.59000,48479.023
1.59333,48389.578
1.59667,48306.141
1.60000,48293.059
1.60333,48239.453
1.60667,48347.941
1.61000,48294.809
1.61333,48235.453
1.61667,48292.766
1.62000,48287.773
1.62333,48319.766
1.62667,48460.570
1.63000,48404.129
1.63333,48474.805
1.63667,48405.828
1.64000,48302.777
1.64333,48391.797
1.64667,48370.891
1.65000,48315.879
1.65333,48238.367
1.65667,48310.984
1.66000,48423.902
1.66333,48388.211
1.66667,48309.207
1.67000,48296.160
1.67333,48293.871
1.67667,48262.445
1.68000,48241.020
1.68333,48147.707
1.68667,48320.430
1.69000,48368.410
1.69333,48317.082
1.69667,48293.137
1.70000,48345.816
1.70333,48407.727
1.70667,48486.230
1.71000,48223.973
1.71333,48369.289
1.71667,48418.195
1.72000,48263.582
1.72333,48231.836
1.72667,48413.465
1.73000,48106.535
1.73333,48431.570
1.73667,48311.066
1.74000,48178.848
1.74333,48276.430
1.74667,48268.203
1.75000,48286.102
1.75333,48335.883
1.75667,48287.180
1.76000,48371.422
1.76333,48396.977
1.76667,48262.195
1.77000,48249.195
1.77333,48397.059
1.77667,48310.961
1.78000,48339.590
1.78333,48224.633
1.78667,48259.715
1.79000,48240.383
1.79333,48267.027
1.79667,48370.484
1.80000,48337.246
1.80333,48309.297
1.80667,48269.410
1.81000,48166.977
1.81333,48367.906
1.81667,48316.211
1.82000,48378.629
1.82333,48361.445
1.82667,48349.906
1.83000,48355.648
1.83333,48312.609
1.83667,48401.949
1.84000,48211.215
1.84333,48240.078
1.84667,48195.957
1.85000,48300.582
1.85333,48203.852
1.85667,48269.840
1.86000,48291.801
1.86333,48159.023
1.86667,48206.578
1.87000,48316.223
1.87333,48315.504
1.87667,48281.461
1.88000,48189.734
1.88333,48276.152
1.88667,48261.215
1.89000,48178.156
1.89333,48315.711
1.89667,48238.102
1.90000,48201.754
1.90333,48272.770
1.90667,48351.465
1.91000,48359.406
1.91333,48275.516
1.91667,48313.387
1.92000,48214.184
1.92333,48362.473
1.92667,48307.070
1.93000,48127.301
1.93333,48171.688
1.93667,48362.676
1.94000,48230.828
1.94333,48321.625
1.94667,48157.609
1.95000,48330.176
1.95333,48320.559
1.95667,48250.480
1.96000,48340.496
1.96333,48220.852
1.96667,48287.910
1.97000,48344.500
1.97333,48258.379
1.97667,48282.285
1.98000,48177.477
1.98333,48162.816
1.98667,48209.777
1.99000,48108.398
1.99333,48133.695
1.99667,48209.391
2.00000,48295.535
2.00333,48342.223
2.00667,48214.340
2.01000,48211.691
2.01333,48050.945
2.01667,48201.227
2.02000,48258.090
2.02333,48209.152
2.02667,48131.016
2.03000,48306.379
2.03333,48181.090
2.03667,48151.914
2.04000,48209.977
2.04333,48186.184
2.04667,48300.086
2.05000,48246.305
2.05333,48287.266
2.05667,48199.934
2.06000,48295.426
2.06333,48183.348
2.06667,48148.070
2.07000,48199.551
2.07333,48150.559
2.07667,48133.289
2.08000,48302.109
2.08333,48173.688
2.08667,48214.066
2.09000,48280.316
2.09333,48287.926
2.09667,48269.574
2.10000,48154.176
2.10333,48294.883
2.10667,48217.930
2.11000,48248.672
