Measurement time:; 2020-12-10 10:05:29 AM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0.0; 0.0; 150.0; 0.70; 29202.7; 0.76
0.0; 0.0; 149.5; 0.79; 32611.8; 0.77
0.0; 0.0; 148.6; 0.77; 31982.8; 0.77
0.0; 0.0; 148.0; 0.80; 33200.3; 0.78
0.0; 0.0; 147.4; 0.79; 32927.5; 0.78
0.0; 0.0; 146.9; 0.80; 33075.3; 0.77
0.0; 0.0; 146.4; 0.80; 33165.6; 0.79
0.0; 0.0; 146.0; 0.78; 32410.7; 0.77
0.0; 0.0; 145.6; 0.80; 32978.2; 0.78
0.0; 0.0; 145.2; 0.81; 33729.9; 0.79
0.0; 0.0; 144.7; 0.81; 33624.4; 0.81
0.0; 0.0; 144.1; 0.81; 33674.8; 0.80
0.0; 0.0; 143.6; 0.82; 33982.5; 0.79
0.0; 0.0; 143.0; 0.82; 33862.0; 0.82
0.0; 0.0; 142.5; 0.83; 34487.4; 0.81
0.0; 0.0; 142.0; 0.80; 33258.0; 0.79
0.0; 0.0; 141.6; 0.83; 34584.6; 0.82
0.0; 0.0; 141.1; 0.83; 34436.4; 0.82
0.0; 0.0; 140.6; 0.84; 34960.5; 0.83
0.0; 0.0; 140.0; 0.86; 35621.3; 0.85
0.0; 0.0; 139.5; 0.87; 35967.2; 0.85
0.0; 0.0; 139.0; 0.83; 34608.1; 0.82
0.0; 0.0; 138.6; 0.85; 35255.0; 0.84
0.0; 0.0; 138.1; 0.83; 34625.7; 0.82
0.0; 0.0; 137.5; 0.85; 35157.5; 0.82
0.0; 0.0; 137.0; 0.89; 36871.9; 0.88
0.0; 0.0; 136.5; 0.86; 35547.7; 0.83
0.0; 0.0; 136.0; 0.84; 34982.4; 0.83
0.0; 0.0; 135.5; 0.90; 37170.0; 0.87
0.0; 0.0; 135.0; 0.89; 37058.3; 0.89
0.0; 0.0; 134.5; 0.91; 37907.7; 0.88
0.0; 0.0; 134.0; 0.83; 34628.0; 0.84
0.0; 0.0; 133.5; 0.84; 34982.7; 0.81
0.0; 0.0; 133.0; 0.85; 35424.2; 0.85
0.0; 0.0; 132.5; 0.86; 35510.7; 0.84
0.0; 0.0; 132.0; 0.88; 36644.3; 0.87
0.0; 0.0; 131.5; 0.91; 37768.8; 0.89
0.0; 0.0; 131.0; 0.89; 37057.8; 0.88
0.0; 0.0; 130.4; 0.89; 36811.9; 0.88
0.0; 0.0; 129.9; 0.87; 35982.7; 0.84
0.0; 0.0; 129.4; 0.87; 36264.0; 0.87
0.0; 0.0; 128.9; 0.91; 37754.6; 0.88
0.0; 0.0; 128.4; 0.87; 36218.2; 0.88
0.0; 0.0; 127.9; 0.95; 39586.9; 0.92
0.0; 0.0; 127.4; 0.90; 37479.3; 0.91
0.0; 0.0; 126.9; 0.93; 38401.9; 0.89
0.0; 0.0; 126.4; 0.89; 37048.4; 0.89
0.0; 0.0; 125.9; 0.94; 38924.1; 0.92
0.0; 0.0; 125.4; 0.95; 39569.6; 0.94
0.0; 0.0; 124.9; 0.92; 38277.9; 0.90
0.0; 0.0; 124.4; 0.93; 38476.9; 0.92
0.0; 0.0; 123.9; 0.95; 39234.2; 0.92
0.0; 0.0; 123.4; 0.94; 39021.3; 0.94
0.0; 0.0; 122.9; 0.95; 39562.7; 0.93
0.0; 0.0; 122.4; 0.95; 39213.1; 0.94
0.0; 0.0; 121.9; 0.98; 40525.8; 0.96
0.0; 0.0; 121.4; 0.98; 40770.1; 0.97
0.0; 0.0; 120.9; 0.99; 40977.6; 0.97
0.0; 0.0; 120.4; 0.97; 40166.8; 0.96
0.0; 0.0; 119.9; 1.01; 41694.6; 0.99
0.0; 0.0; 119.4; 0.99; 41146.2; 0.97
0.0; 0.0; 118.8; 0.98; 40741.7; 0.97
0.0; 0.0; 118.3; 0.97; 40136.9; 0.94
0.0; 0.0; 117.8; 0.98; 40496.0; 0.97
0.0; 0.0; 117.3; 1.02; 42378.4; 0.99
0.0; 0.0; 116.8; 1.00; 41531.4; 1.00
0.0; 0.0; 116.3; 1.00; 41346.9; 0.97
0.0; 0.0; 115.8; 0.96; 39715.5; 0.96
0.0; 0.0; 115.3; 0.99; 41100.4; 0.96
0.0; 0.0; 114.8; 1.02; 42151.5; 1.01
0.0; 0.0; 114.3; 1.02; 42334.2; 1.01
0.0; 0.0; 113.8; 1.03; 42885.4; 1.01
0.0; 0.0; 113.3; 1.04; 43027.8; 1.03
0.0; 0.0; 112.8; 1.05; 43394.7; 1.02
0.0; 0.0; 112.3; 1.01; 41907.2; 1.01
0.0; 0.0; 111.8; 1.07; 44293.4; 1.03
0.0; 0.0; 111.3; 1.00; 41682.6; 1.00
0.0; 0.0; 110.7; 1.05; 43617.6; 1.01
0.0; 0.0; 110.2; 1.01; 42063.4; 1.02
0.0; 0.0; 109.7; 1.08; 44820.2; 1.04
0.0; 0.0; 109.2; 1.06; 43931.0; 1.06
0.0; 0.0; 108.7; 1.10; 45739.0; 1.08
0.0; 0.0; 108.2; 1.04; 43084.4; 1.02
0.0; 0.0; 107.7; 1.09; 45156.4; 1.07
0.0; 0.0; 107.2; 1.10; 45678.9; 1.08
0.0; 0.0; 106.7; 1.08; 44663.2; 1.05
0.0; 0.0; 106.2; 1.04; 43340.6; 1.04
0.0; 0.0; 105.7; 1.08; 44785.1; 1.06
0.0; 0.0; 105.2; 1.08; 45002.5; 1.06
0.0; 0.0; 104.7; 1.10; 45764.1; 1.09
0.0; 0.0; 104.2; 1.12; 46502.5; 1.10
0.0; 0.0; 103.7; 1.03; 42744.9; 1.02
0.0; 0.0; 103.2; 1.09; 45184.4; 1.06
0.0; 0.0; 102.7; 1.11; 46094.0; 1.10
0.0; 0.0; 102.2; 1.12; 46524.4; 1.09
0.0; 0.0; 101.7; 1.12; 46380.3; 1.12
0.0; 0.0; 101.1; 1.15; 47764.1; 1.11
0.0; 0.0; 100.6; 1.13; 46734.5; 1.13
0.0; 0.0; 100.2; 1.14; 47452.8; 1.11
0.0; 0.0; 99.7; 1.12; 46398.2; 1.11
0.0; 0.0; 99.2; 1.16; 48100.0; 1.12
0.0; 0.0; 98.7; 1.15; 47736.7; 1.15
0.0; 0.0; 98.1; 1.17; 48357.9; 1.13
0.0; 0.0; 97.6; 1.14; 47370.2; 1.14
0.0; 0.0; 97.1; 1.17; 48449.8; 1.14
0.0; 0.0; 96.6; 1.17; 48601.2; 1.16
0.0; 0.0; 96.2; 1.21; 50025.7; 1.18
0.0; 0.0; 95.6; 1.19; 49455.8; 1.17
0.0; 0.0; 95.1; 1.19; 49540.7; 1.15
0.0; 0.0; 94.6; 1.14; 47383.7; 1.15
0.0; 0.0; 94.1; 1.17; 48469.3; 1.14
0.0; 0.0; 93.6; 1.18; 48849.7; 1.16
0.0; 0.0; 93.1; 1.19; 49317.2; 1.17
0.0; 0.0; 92.6; 1.18; 49139.6; 1.17
0.0; 0.0; 92.1; 1.23; 51165.9; 1.22
0.0; 0.0; 91.6; 1.24; 51562.7; 1.21
0.0; 0.0; 91.1; 1.26; 52131.3; 1.24
0.0; 0.0; 90.6; 1.24; 51244.6; 1.21
0.0; 0.0; 90.1; 1.25; 51907.0; 1.24
0.0; 0.0; 89.6; 1.26; 52070.1; 1.22
0.0; 0.0; 89.1; 1.22; 50784.6; 1.22
0.0; 0.0; 88.5; 1.24; 51554.4; 1.20
0.0; 0.0; 88.0; 1.26; 52332.9; 1.26
0.0; 0.0; 87.5; 1.30; 53727.2; 1.25
0.0; 0.0; 87.0; 1.24; 51589.7; 1.24
0.0; 0.0; 86.5; 1.25; 51874.9; 1.23
0.0; 0.0; 86.0; 1.29; 53356.7; 1.27
0.0; 0.0; 85.5; 1.29; 53332.7; 1.27
0.0; 0.0; 85.0; 1.28; 52895.3; 1.25
0.0; 0.0; 84.5; 1.24; 51538.4; 1.23
0.0; 0.0; 84.0; 1.30; 54101.0; 1.27
0.0; 0.0; 83.5; 1.30; 53872.4; 1.28
0.0; 0.0; 83.0; 1.31; 54295.5; 1.28
0.0; 0.0; 82.5; 1.27; 52665.8; 1.26
0.0; 0.0; 82.0; 1.35; 55918.8; 1.31
0.0; 0.0; 81.5; 1.29; 53534.3; 1.29
0.0; 0.0; 81.0; 1.35; 56086.9; 1.31
0.0; 0.0; 80.5; 1.32; 54657.4; 1.32
0.0; 0.0; 80.0; 1.34; 55663.7; 1.30
0.0; 0.0; 79.5; 1.31; 54254.3; 1.31
0.0; 0.0; 79.0; 1.40; 58170.3; 1.35
0.0; 0.0; 78.5; 1.36; 56400.5; 1.36
0.0; 0.0; 78.0; 1.40; 58173.9; 1.38
0.0; 0.0; 77.4; 1.37; 56871.1; 1.35
0.0; 0.0; 76.9; 1.40; 58184.7; 1.36
0.0; 0.0; 76.4; 1.35; 55817.6; 1.34
0.0; 0.0; 75.9; 1.40; 58242.2; 1.37
0.0; 0.0; 75.4; 1.38; 57105.9; 1.36
0.0; 0.0; 74.9; 1.40; 57975.0; 1.37
0.0; 0.0; 74.4; 1.37; 56768.1; 1.34
0.0; 0.0; 73.9; 1.37; 56699.0; 1.35
0.0; 0.0; 73.4; 1.39; 57677.8; 1.36
0.0; 0.0; 72.9; 1.42; 58822.2; 1.40
0.0; 0.0; 72.4; 1.44; 59534.8; 1.40
0.0; 0.0; 71.9; 1.43; 59196.3; 1.42
0.0; 0.0; 71.3; 1.45; 60181.1; 1.40
0.0; 0.0; 70.8; 1.42; 58853.7; 1.42
0.0; 0.0; 70.3; 1.45; 60203.7; 1.41
0.0; 0.0; 69.8; 1.46; 60358.3; 1.45
0.0; 0.0; 69.3; 1.46; 60461.9; 1.41
0.0; 0.0; 68.8; 1.44; 59879.5; 1.44
0.0; 0.0; 68.3; 1.48; 61488.6; 1.43
0.0; 0.0; 67.8; 1.46; 60611.8; 1.47
0.0; 0.0; 67.3; 1.53; 63262.7; 1.48
0.0; 0.0; 66.8; 1.48; 61296.4; 1.47
0.0; 0.0; 66.3; 1.48; 61249.7; 1.44
0.0; 0.0; 65.8; 1.41; 58657.2; 1.41
0.0; 0.0; 65.3; 1.52; 62887.1; 1.46
0.0; 0.0; 64.8; 1.52; 63235.3; 1.52
0.0; 0.0; 64.2; 1.59; 66120.8; 1.55
0.0; 0.0; 63.8; 1.51; 62826.5; 1.51
0.0; 0.0; 63.3; 1.58; 65663.5; 1.54
0.0; 0.0; 62.8; 1.56; 64755.1; 1.54
0.0; 0.0; 62.3; 1.56; 64913.4; 1.55
0.0; 0.0; 61.9; 1.59; 65942.5; 1.56
0.0; 0.0; 61.5; 1.58; 65674.2; 1.56
0.0; 0.0; 61.0; 1.56; 64759.7; 1.53
0.0; 0.0; 60.4; 1.61; 66663.6; 1.57
0.0; 0.0; 59.9; 1.61; 66636.2; 1.57
0.0; 0.0; 59.3; 1.58; 65451.6; 1.56
0.0; 0.0; 58.9; 1.62; 67129.7; 1.59
0.0; 0.0; 58.4; 1.61; 66895.9; 1.57
0.0; 0.0; 57.9; 1.62; 67254.7; 1.61
0.0; 0.0; 57.4; 1.64; 68008.7; 1.62
0.0; 0.0; 56.9; 1.65; 68619.3; 1.63
0.0; 0.0; 56.3; 1.64; 67978.4; 1.61
0.0; 0.0; 55.8; 1.68; 69614.9; 1.65
0.0; 0.0; 55.3; 1.68; 69742.3; 1.65
0.0; 0.0; 54.8; 1.69; 70209.9; 1.66
0.0; 0.0; 54.3; 1.70; 70311.4; 1.68
0.0; 0.0; 53.8; 1.69; 70287.1; 1.68
0.0; 0.0; 53.3; 1.67; 69297.7; 1.64
0.0; 0.0; 52.8; 1.70; 70590.8; 1.68
0.0; 0.0; 52.3; 1.74; 72274.5; 1.71
0.0; 0.0; 51.8; 1.77; 73307.3; 1.73
0.0; 0.0; 51.3; 1.81; 75209.5; 1.79
0.0; 0.0; 50.8; 1.87; 77671.8; 1.85
0.0; 0.0; 50.3; 1.90; 78898.9; 1.88
0.0; 0.0; 49.8; 2.06; 85616.3; 2.03
0.0; 0.0; 49.3; 2.24; 92859.4; 2.19
0.0; 0.0; 48.8; 2.50; 103720.3; 2.45
0.0; 0.0; 48.3; 2.74; 113835.9; 2.69
0.0; 0.0; 47.8; 3.06; 126997.8; 2.99
0.0; 0.0; 47.3; 3.45; 143020.5; 3.43
0.0; 0.0; 46.7; 4.01; 166317.1; 3.95
0.0; 0.0; 46.2; 4.75; 196861.2; 4.67
0.0; 0.0; 45.8; 5.67; 235278.8; 5.57
0.0; 0.0; 45.2; 6.81; 282496.8; 6.67
0.0; 0.0; 44.7; 7.87; 326306.7; 7.72
0.0; 0.0; 44.2; 9.14; 379126.9; 8.98
0.0; 0.0; 43.7; 10.49; 435053.1; 10.33
0.0; 0.0; 43.2; 12.38; 513591.9; 12.11
0.0; 0.0; 42.7; 14.30; 593025.9; 14.16
0.0; 0.0; 42.2; 16.54; 685882.0; 16.33
0.0; 0.0; 41.7; 19.00; 788102.9; 18.68
0.0; 0.0; 41.2; 21.49; 891299.8; 21.10
0.0; 0.0; 40.7; 23.78; 986386.6; 23.33
0.0; 0.0; 40.2; 26.45; 1097190.9; 25.86
0.0; 0.0; 39.7; 29.76; 1234591.5; 29.11
0.0; 0.0; 39.2; 32.54; 1349874.8; 32.40
0.0; 0.0; 38.7; 35.99; 1492948.1; 35.33
0.0; 0.0; 38.1; 38.97; 1616369.2; 38.23
0.0; 0.0; 37.6; 41.87; 1736973.2; 41.12
0.0; 0.0; 37.1; 45.05; 1868748.8; 44.23
0.0; 0.0; 36.6; 48.73; 2021355.4; 47.69
0.0; 0.0; 36.2; 51.69; 2144117.4; 50.99
0.0; 0.0; 35.6; 54.90; 2277386.4; 54.27
0.0; 0.0; 35.1; 58.13; 2411415.5; 57.14
0.0; 0.0; 34.6; 60.86; 2524594.7; 60.12
0.0; 0.0; 34.1; 64.03; 2655853.0; 63.01
0.0; 0.0; 33.6; 67.48; 2798965.1; 65.98
0.0; 0.0; 33.1; 70.37; 2918822.9; 68.78
0.0; 0.0; 32.6; 73.34; 3042297.2; 71.70
0.0; 0.0; 32.1; 75.86; 3146516.4; 74.52
0.0; 0.0; 31.6; 77.48; 3213827.1; 76.80
0.0; 0.0; 31.1; 79.97; 3317150.6; 78.97
0.0; 0.0; 30.6; 82.29; 3413360.6; 81.20
0.0; 0.0; 30.1; 84.94; 3523436.1; 83.54
0.0; 0.0; 29.6; 87.26; 3619655.5; 85.66
0.0; 0.0; 29.0; 89.35; 3706212.6; 87.37
0.0; 0.0; 28.5; 90.83; 3767757.8; 89.15
0.0; 0.0; 28.0; 92.07; 3819231.9; 90.18
0.0; 0.0; 27.6; 92.69; 3844885.5; 91.85
0.0; 0.0; 27.1; 94.99; 3940265.5; 93.43
0.0; 0.0; 26.5; 96.33; 3995773.4; 94.53
0.0; 0.0; 26.0; 97.34; 4037650.2; 95.83
0.0; 0.0; 25.5; 98.37; 4080578.0; 96.39
0.0; 0.0; 25.0; 99.54; 4129109.3; 97.36
0.0; 0.0; 24.5; 99.26; 4117474.2; 97.74
0.0; 0.0; 24.0; 99.49; 4126749.1; 98.27
0.0; 0.0; 23.5; 100.81; 4181761.8; 99.18
0.0; 0.0; 23.0; 101.41; 4206622.6; 99.66
0.0; 0.0; 22.5; 100.83; 4182487.8; 99.52
0.0; 0.0; 22.0; 101.90; 4226764.6; 99.84
0.0; 0.0; 21.5; 101.79; 4222308.1; 99.74
0.0; 0.0; 21.0; 102.31; 4243932.0; 100.00
0.0; 0.0; 20.5; 100.77; 4179960.9; 99.69
0.0; 0.0; 20.0; 100.88; 4184600.8; 99.31
0.0; 0.0; 19.5; 100.33; 4161620.1; 99.23
0.0; 0.0; 19.0; 100.36; 4163037.9; 98.80
0.0; 0.0; 18.5; 100.82; 4182016.9; 99.00
0.0; 0.0; 18.0; 100.95; 4187594.9; 98.54
0.0; 0.0; 17.5; 100.37; 4163285.2; 98.22
0.0; 0.0; 16.9; 99.13; 4112010.9; 97.65
0.0; 0.0; 16.4; 98.81; 4098804.9; 97.15
0.0; 0.0; 16.0; 98.76; 4096610.3; 96.70
0.0; 0.0; 15.5; 96.62; 4007856.0; 96.15
0.0; 0.0; 15.0; 97.73; 4054058.8; 95.87
0.0; 0.0; 14.4; 97.24; 4033576.5; 95.26
0.0; 0.0; 13.9; 96.25; 3992334.8; 94.67
0.0; 0.0; 13.4; 95.92; 3978805.3; 94.09
0.0; 0.0; 12.9; 95.59; 3965047.0; 93.71
0.0; 0.0; 12.4; 95.24; 3950470.7; 93.37
0.0; 0.0; 11.9; 93.95; 3896972.5; 93.13
0.0; 0.0; 11.4; 93.75; 3888844.5; 92.58
0.0; 0.0; 10.9; 93.34; 3871941.5; 91.66
0.0; 0.0; 10.4; 92.43; 3833855.7; 91.12
0.0; 0.0; 9.9; 92.40; 3832707.0; 90.66
0.0; 0.0; 9.4; 92.31; 3829194.5; 90.19
0.0; 0.0; 8.9; 91.59; 3799270.0; 89.77
0.0; 0.0; 8.4; 90.38; 3748848.3; 89.28
0.0; 0.0; 7.9; 90.25; 3743621.8; 88.71
0.0; 0.0; 7.4; 89.07; 3694631.5; 88.41
0.0; 0.0; 6.9; 89.24; 3701644.3; 87.74
0.0; 0.0; 6.4; 89.08; 3695245.4; 87.32
0.0; 0.0; 5.9; 89.03; 3692867.8; 86.85
0.0; 0.0; 5.3; 88.15; 3656448.6; 86.22
0.0; 0.0; 4.8; 86.78; 3599487.0; 85.59
0.0; 0.0; 4.3; 86.41; 3584355.6; 84.91
0.0; 0.0; 3.8; 85.46; 3545053.8; 84.48
0.0; 0.0; 3.3; 84.59; 3508972.6; 83.63
0.0; 0.0; 2.8; 85.31; 3538577.3; 83.14
0.0; 0.0; 2.3; 83.68; 3471282.9; 82.24
0.0; 0.0; 1.8; 83.21; 3451406.8; 81.49
0.0; 0.0; 1.3; 81.61; 3385404.8; 80.38
0.0; 0.0; 0.8; 80.67; 3346285.9; 80.20
0.0; 0.0; 0.3; 81.43; 3377913.4; 80.03
0.0; 0.0; -0.5; 81.80; 3393262.5; 80.19


