Distance_(inches),Gray_Value
0.00000,60675.406
0.00333,60670.344
0.00667,60674.309
0.01000,60664.387
0.01333,60674.445
0.01667,60675.125
0.02000,60674.395
0.02333,60673.555
0.02667,60675.000
0.03000,60672.363
0.03333,60676.422
0.03667,60675.000
0.04000,60675.094
0.04333,60675.000
0.04667,60674.535
0.05000,60674.992
0.05333,60675.012
0.05667,60674.457
0.06000,60674.992
0.06333,60670.742
0.06667,60667.816
0.07000,60675.031
0.07333,60661.680
0.07667,60671.605
0.08000,60674.945
0.08333,60672.270
0.08667,60673.816
0.09000,60673.555
0.09333,60674.863
0.09667,60675.070
0.10000,60675.000
0.10333,60670.422
0.10667,60674.781
0.11000,60675.594
0.11333,60674.480
0.11667,60675.094
0.12000,60667.809
0.12333,60669.430
0.12667,60673.660
0.13000,60673.113
0.13333,60674.453
0.13667,60674.445
0.14000,60670.957
0.14333,60673.809
0.14667,60673.582
0.15000,60674.977
0.15333,60673.910
0.15667,60674.457
0.16000,60673.875
0.16333,60671.832
0.16667,60674.832
0.17000,60674.988
0.17333,60674.617
0.17667,60673.750
0.18000,60671.613
0.18333,60647.977
0.18667,60672.434
0.19000,60675.078
0.19333,60671.715
0.19667,60671.344
0.20000,60672.105
0.20333,60671.293
0.20667,60670.180
0.21000,60675.250
0.21333,60675.000
0.21667,60675.605
0.22000,60675.000
0.22333,60675.320
0.22667,60667.559
0.23000,60669.578
0.23333,60661.191
0.23667,60675.008
0.24000,60671.430
0.24333,60674.332
0.24667,60672.406
0.25000,60676.605
0.25333,60673.910
0.25667,60676.578
0.26000,60671.453
0.26333,60674.887
0.26667,60674.785
0.27000,60675.000
0.27333,60672.469
0.27667,60666.316
0.28000,60674.895
0.28333,60677.648
0.28667,60671.988
0.29000,60672.383
0.29333,60671.977
0.29667,60672.285
0.30000,60676.059
0.30333,60673.398
0.30667,60673.031
0.31000,60675.352
0.31333,60665.000
0.31667,60673.613
0.32000,60674.992
0.32333,60651.633
0.32667,60577.035
0.33000,60544.820
0.33333,60642.906
0.33667,60671.203
0.34000,60675.207
0.34333,60677.512
0.34667,60671.105
0.35000,60674.965
0.35333,60674.594
0.35667,60672.410
0.36000,60665.066
0.36333,60671.832
0.36667,60672.645
0.37000,60676.148
0.37333,60668.906
0.37667,60665.645
0.38000,60671.465
0.38333,60674.855
0.38667,60674.852
0.39000,60673.785
0.39333,60675.281
0.39667,60675.000
0.40000,60675.020
0.40333,60675.816
0.40667,60675.238
0.41000,60674.945
0.41333,60675.258
0.41667,60673.922
0.42000,60674.195
0.42333,60665.465
0.42667,60672.191
0.43000,60672.105
0.43333,60675.566
0.43667,60666.953
0.44000,60674.133
0.44333,60670.520
0.44667,60674.477
0.45000,60674.992
0.45333,60672.492
0.45667,60675.992
0.46000,60680.793
0.46333,60675.020
0.46667,60675.668
0.47000,60675.344
0.47333,60661.273
0.47667,60663.383
0.48000,60675.055
0.48333,60672.785
0.48667,60674.758
0.49000,60674.969
0.49333,60660.875
0.49667,60667.352
0.50000,60674.008
0.50333,60674.113
0.50667,60672.840
0.51000,60674.988
0.51333,60675.000
0.51667,60674.945
0.52000,60675.215
0.52333,60675.172
0.52667,60673.684
0.53000,60675.469
0.53333,60674.758
0.53667,60674.102
0.54000,60673.695
0.54333,60674.715
0.54667,60675.066
0.55000,60670.270
0.55333,60673.258
0.55667,60672.762
0.56000,60673.832
0.56333,60668.203
0.56667,60673.707
0.57000,60664.035
0.57333,60674.625
0.57667,60674.230
0.58000,60674.809
0.58333,60675.320
0.58667,60675.434
0.59000,60674.066
0.59333,60673.059
0.59667,60668.117
0.60000,60674.930
