Measurement time:; 2020-12-10 10:08:40 AM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
128.8; 0.0; 20.0; 0.29; 11891.9; 0.28
128.3; 0.0; 20.0; 0.29; 11966.2; 0.28
127.8; 0.0; 20.0; 0.31; 12838.7; 0.30
127.3; 0.0; 20.0; 0.29; 12049.4; 0.29
126.7; 0.0; 20.0; 0.30; 12619.2; 0.30
126.3; 0.0; 20.0; 0.29; 11995.5; 0.29
125.8; 0.0; 20.0; 0.29; 12103.2; 0.29
125.3; 0.0; 20.0; 0.33; 13652.0; 0.32
124.7; 0.0; 20.0; 0.31; 12868.3; 0.30
124.2; 0.0; 20.0; 0.34; 14280.6; 0.34
123.7; 0.0; 20.0; 0.33; 13705.1; 0.32
123.2; 0.0; 20.0; 0.33; 13766.6; 0.33
122.7; 0.0; 20.0; 0.33; 13683.8; 0.33
122.2; 0.0; 20.0; 0.30; 12650.6; 0.30
121.7; 0.0; 20.0; 0.34; 14074.3; 0.33
121.2; 0.0; 20.0; 0.34; 13909.2; 0.33
120.7; 0.0; 20.0; 0.34; 13969.6; 0.33
120.2; 0.0; 20.0; 0.37; 15218.0; 0.36
119.7; 0.0; 20.0; 0.35; 14668.9; 0.35
119.2; 0.0; 20.0; 0.35; 14499.2; 0.34
118.7; 0.0; 20.0; 0.36; 14999.4; 0.36
118.2; 0.0; 20.0; 0.36; 14866.6; 0.36
117.7; 0.0; 20.0; 0.37; 15155.8; 0.36
117.2; 0.0; 20.0; 0.39; 16325.3; 0.38
116.7; 0.0; 20.0; 0.38; 15878.8; 0.37
116.1; 0.0; 20.0; 0.39; 16076.0; 0.38
115.6; 0.0; 20.0; 0.39; 16131.3; 0.39
115.1; 0.0; 20.0; 0.41; 17118.3; 0.41
114.6; 0.0; 20.0; 0.40; 16602.6; 0.39
114.1; 0.0; 20.0; 0.41; 16950.2; 0.40
113.6; 0.0; 20.0; 0.43; 17976.3; 0.42
113.1; 0.0; 20.0; 0.43; 17745.7; 0.42
112.6; 0.0; 20.0; 0.44; 18327.7; 0.44
112.1; 0.0; 20.0; 0.45; 18536.1; 0.44
111.6; 0.0; 20.0; 0.43; 17905.1; 0.43
111.1; 0.0; 20.0; 0.46; 19034.5; 0.45
110.6; 0.0; 20.0; 0.45; 18863.0; 0.45
110.1; 0.0; 20.0; 0.47; 19575.5; 0.46
109.6; 0.0; 20.0; 0.46; 19236.2; 0.46
109.1; 0.0; 20.0; 0.46; 19152.1; 0.46
108.5; 0.0; 20.0; 0.48; 19867.7; 0.47
108.1; 0.0; 20.0; 0.50; 20548.4; 0.49
107.6; 0.0; 20.0; 0.49; 20445.6; 0.48
107.0; 0.0; 20.0; 0.50; 20614.7; 0.49
106.5; 0.0; 20.0; 0.50; 20843.0; 0.49
106.0; 0.0; 20.0; 0.51; 21137.5; 0.50
105.5; 0.0; 20.0; 0.50; 20876.3; 0.49
105.0; 0.0; 20.0; 0.50; 20551.4; 0.49
104.5; 0.0; 20.0; 0.51; 21233.6; 0.51
104.0; 0.0; 20.0; 0.52; 21720.5; 0.52
103.5; 0.0; 20.0; 0.53; 21783.7; 0.52
103.0; 0.0; 20.0; 0.55; 22905.5; 0.54
102.5; 0.0; 20.0; 0.55; 22963.3; 0.54
102.0; 0.0; 20.0; 0.54; 22547.1; 0.53
101.5; 0.0; 20.0; 0.53; 22024.7; 0.52
101.0; 0.0; 20.0; 0.52; 21579.8; 0.51
100.5; 0.0; 20.0; 0.56; 23291.0; 0.55
100.0; 0.0; 20.0; 0.58; 24035.2; 0.57
99.5; 0.0; 20.0; 0.56; 23331.9; 0.56
99.0; 0.0; 20.0; 0.60; 24885.1; 0.59
98.5; 0.0; 20.0; 0.60; 24906.3; 0.59
98.0; 0.0; 20.0; 0.59; 24305.0; 0.58
97.5; 0.0; 20.0; 0.60; 24844.5; 0.59
96.9; 0.0; 20.0; 0.59; 24565.7; 0.59
96.4; 0.0; 20.0; 0.59; 24535.4; 0.58
96.0; 0.0; 20.0; 0.60; 24988.1; 0.59
95.5; 0.0; 20.0; 0.61; 25500.4; 0.60
95.0; 0.0; 20.0; 0.59; 24439.1; 0.58
94.4; 0.0; 20.0; 0.64; 26363.8; 0.62
93.9; 0.0; 20.0; 0.64; 26477.8; 0.63
93.4; 0.0; 20.0; 0.65; 26852.0; 0.64
92.9; 0.0; 20.0; 0.67; 27745.8; 0.67
92.4; 0.0; 20.0; 0.69; 28653.7; 0.68
91.9; 0.0; 20.0; 0.69; 28453.9; 0.67
91.4; 0.0; 20.0; 0.70; 28936.8; 0.68
90.9; 0.0; 20.0; 0.72; 29792.0; 0.70
90.4; 0.0; 20.0; 0.74; 30613.9; 0.72
89.9; 0.0; 20.0; 0.72; 30063.1; 0.72
89.4; 0.0; 20.0; 0.75; 30982.9; 0.74
88.9; 0.0; 20.0; 0.75; 31187.6; 0.74
88.4; 0.0; 20.0; 0.77; 31927.1; 0.75
87.9; 0.0; 20.0; 0.81; 33450.1; 0.79
87.4; 0.0; 20.0; 0.80; 33012.5; 0.78
86.9; 0.0; 20.0; 0.83; 34299.6; 0.81
86.4; 0.0; 20.0; 0.80; 33272.5; 0.79
85.9; 0.0; 20.0; 0.81; 33739.6; 0.80
85.4; 0.0; 20.0; 0.82; 34212.6; 0.82
84.9; 0.0; 20.0; 0.87; 36122.3; 0.86
84.4; 0.0; 20.0; 0.89; 37009.2; 0.88
83.9; 0.0; 20.0; 0.88; 36445.9; 0.86
83.4; 0.0; 20.0; 0.90; 37261.5; 0.88
82.8; 0.0; 20.0; 0.91; 37771.1; 0.89
82.3; 0.0; 20.0; 0.92; 38138.8; 0.90
81.8; 0.0; 20.0; 0.92; 38221.9; 0.92
81.3; 0.0; 20.0; 0.93; 38508.4; 0.92
80.9; 0.0; 20.0; 0.96; 39763.1; 0.94
80.3; 0.0; 20.0; 0.98; 40780.3; 0.97
79.8; 0.0; 20.0; 1.03; 42598.6; 1.01
79.3; 0.0; 20.0; 1.02; 42288.1; 1.00
78.8; 0.0; 20.0; 1.06; 43784.0; 1.04
78.3; 0.0; 20.0; 1.07; 44486.6; 1.05
77.8; 0.0; 20.0; 1.09; 45081.0; 1.07
77.3; 0.0; 20.0; 1.13; 46732.4; 1.12
76.8; 0.0; 20.0; 1.17; 48627.4; 1.15
76.3; 0.0; 20.0; 1.23; 50845.3; 1.21
75.8; 0.0; 20.0; 1.30; 53739.3; 1.27
75.3; 0.0; 20.0; 1.34; 55749.3; 1.31
74.8; 0.0; 20.0; 1.38; 57220.5; 1.35
74.3; 0.0; 20.0; 1.46; 60467.7; 1.43
73.8; 0.0; 20.0; 1.49; 61911.0; 1.48
73.3; 0.0; 20.0; 1.58; 65612.3; 1.56
72.8; 0.0; 20.0; 1.66; 68872.3; 1.64
72.3; 0.0; 20.0; 1.77; 73482.8; 1.75
71.8; 0.0; 20.0; 1.85; 76917.2; 1.82
71.3; 0.0; 20.0; 1.92; 79759.2; 1.89
70.8; 0.0; 20.0; 2.03; 84302.9; 1.99
70.3; 0.0; 20.0; 2.19; 90846.6; 2.15
69.8; 0.0; 20.0; 2.30; 95242.1; 2.25
69.3; 0.0; 20.0; 2.45; 101669.6; 2.41
68.8; 0.0; 20.0; 2.59; 107328.3; 2.56
68.3; 0.0; 20.0; 2.73; 113176.6; 2.70
67.8; 0.0; 20.0; 2.98; 123630.7; 2.93
67.3; 0.0; 20.0; 3.13; 129826.8; 3.06
66.7; 0.0; 20.0; 3.35; 138942.4; 3.28
66.2; 0.0; 20.0; 3.59; 148848.9; 3.51
65.7; 0.0; 20.0; 3.80; 157832.6; 3.77
65.2; 0.0; 20.0; 3.99; 165521.1; 3.97
64.7; 0.0; 20.0; 4.36; 180686.0; 4.28
64.2; 0.0; 20.0; 4.79; 198728.4; 4.69
63.7; 0.0; 20.0; 5.07; 210267.1; 4.97
63.2; 0.0; 20.0; 5.47; 226757.5; 5.34
