Distance_(pixels),Gray_Value
0,9749.550
1,9754.100
2,9756.982
3,9751.181
4,9730.876
5,9698.082
6,9657.670
7,9611.613
8,9567.163
9,9530.571
10,9495.755
11,9457.096
12,9406.550
13,9340.096
14,9256.766
15,9159.468
16,9066.426
17,8988.298
18,8918.369
19,8831.624
20,8729.341
21,8627.603
22,8526.312
23,8429.511
24,8340.848
25,8250.798
26,8152.135
27,8046.858
28,7938.567
29,7837.776
30,7751.670
31,7678.709
32,7615.099
33,7551.464
34,7481.000
35,7403.575
36,7332.365
37,7283.518
38,7251.411
39,7221.475
40,7181.323
41,7128.929
42,7083.879
43,7056.691
44,7045.674
45,7040.685
46,7028.270
47,6999.720
48,6964.787
49,6944.848
50,6947.330
51,6960.252
52,6976.142
53,6987.486
54,6991.255
55,6985.333
56,6974.160
57,6955.124
58,6927.571
59,6911.627
60,6934.894
61,6969.837
62,6976.975
63,6930.958
64,6867.635
65,6846.670
66,6860.358
67,6872.915
68,6871.670
69,6869.096
70,6871.766
71,6868.674
72,6861.312
73,6864.238
74,6881.046
75,6900.589
76,6920.078
77,6944.262
78,6979.067
79,7014.000
80,7040.046
81,7067.660
82,7110.837
83,7166.699
84,7225.344
85,7279.848
86,7328.943
87,7377.823
88,7436.677
89,7508.961
90,7575.497
91,7636.745
92,7708.734
93,7799.606
94,7908.000
95,8023.575
96,8129.575
97,8213.965
98,8289.128
99,8367.404
100,8452.152
101,8541.344
102,8633.128
103,8723.929
104,8811.539
105,8906.142
106,9014.822
107,9137.089
108,9251.543
109,9332.606
110,9386.783
111,9440.646
112,9508.411
113,9584.000
114,9656.450
115,9711.674
116,9754.191
117,9796.061
118,9840.869
119,9881.372
120,9916.287
121,9946.876
